event,radius_arcsec,k,k_used,n_matched,frac_gal_matched,weight_matched,weight_topk,weight_total,frac_weight_matched_topk,frac_weight_matched_total,control
GW200220_061928,10.0,20000,20000,68,0.0034,0.0049801112918905445,1.6113936945266558,3.1051843665252945,0.0030905614864984586,0.0016038053474626036,shift_ra
GW200208_130117,10.0,20000,11255,2,0.00017769880053309641,0.025219122257671242,107.00923063356746,107.00923063356746,0.00023567240048691948,0.00023567240048691948,shift_ra
GW200219_094415,10.0,20000,20000,59,0.00295,0.04087112072366597,16.73584011084747,28.962053894505136,0.0024421314049944244,0.0014111955206125867,shift_ra
GW191230_180458,10.0,20000,20000,16,0.0008,0.0034039104188163787,4.047754875819917,11.822058517050435,0.0008409378836525715,0.0002879287404902512,shift_ra
GW200308_173609,30.0,200,200,4,0.02,0.00036329596698319786,0.017171999996227677,0.29777197748631556,0.021156299036979166,0.001220047534526292,shift_ra
GW200220_061928,30.0,200,200,4,0.02,0.000915940204800838,0.08551970071403917,3.1051843665252945,0.010710283094459832,0.00029497127921772207,shift_ra
GW200208_130117,30.0,200,200,1,0.005,0.10775251174728505,22.894906536989634,107.00923063356746,0.004706396663956551,0.0010069459532539096,shift_ra
GW200219_094415,30.0,200,200,2,0.01,0.007464955293354057,0.867284692199999,28.962053894505136,0.008607272053214807,0.0002577495132266968,shift_ra
GW191230_180458,30.0,200,200,4,0.02,0.0025295233891745707,0.14215075165747582,11.822058517050435,0.01779465363130594,0.00021396640741765493,shift_ra
GW200308_173609,30.0,1000,1000,28,0.028,0.0015270020014500453,0.056446490024904435,0.29777197748631556,0.027052204676966195,0.005128091683913475,shift_ra
GW200220_061928,30.0,1000,1000,25,0.025,0.0043606844274778865,0.21543247199848725,3.1051843665252945,0.020241537345904413,0.0014043238380584463,shift_ra
GW200208_130117,30.0,1000,1000,3,0.003,0.207714101547402,65.11777519579688,107.00923063356746,0.0031898218408544336,0.0019410858326668941,shift_ra
GW200219_094415,30.0,1000,1000,35,0.035,0.07593164645268505,2.5809111163214116,28.962053894505136,0.0294204809970019,0.002621763177752089,shift_ra
GW191230_180458,30.0,1000,1000,10,0.01,0.004448311307437336,0.42152861407953995,11.822058517050435,0.010552809842223346,0.0003762721442312041,shift_ra
GW200308_173609,30.0,5000,5000,144,0.0288,0.004557667543381778,0.1632609487257954,0.29777197748631556,0.027916458767102963,0.015305898096442708,shift_ra
GW200220_061928,30.0,5000,5000,123,0.0246,0.01467964890795588,0.644469895457261,3.1051843665252945,0.022777865981684763,0.004727464515861397,shift_ra
GW200208_130117,30.0,5000,5000,15,0.003,0.3672739281763374,106.84455029185061,107.00923063356746,0.003437460564653157,0.003432170533343954,shift_ra
GW200219_094415,30.0,5000,5000,128,0.0256,0.19644374370742565,7.655148935334509,28.962053894505136,0.025661648828370128,0.00678279739492841,shift_ra
GW191230_180458,30.0,5000,5000,41,0.0082,0.012042810914626383,1.4227231336255173,11.822058517050435,0.008464620156936477,0.0010186729237769857,shift_ra
GW200308_173609,30.0,20000,20000,553,0.02765,0.009181309407355773,0.29777197748631556,0.29777197748631556,0.030833356062787035,0.030833356062787035,shift_ra
GW200220_061928,30.0,20000,20000,643,0.03215,0.047185056687221276,1.6113936945266558,3.1051843665252945,0.02928214057650375,0.015195573311487916,shift_ra
GW200208_130117,30.0,20000,11255,23,0.0020435362061306086,0.3679091784028563,107.00923063356746,107.00923063356746,0.003438106939229295,0.003438106939229295,shift_ra
GW200219_094415,30.0,20000,20000,564,0.0282,0.45163228366934177,16.73584011084747,28.962053894505136,0.026985934418470733,0.015593931470275605,shift_ra
GW191230_180458,30.0,20000,20000,131,0.00655,0.027819936824071568,4.047754875819917,11.822058517050435,0.006872930223680191,0.0023532227305378415,shift_ra
GW200308_173609,60.0,200,200,10,0.05,0.0009241919887330659,0.017171999996227677,0.29777197748631556,0.053819705854652414,0.003103690268422045,shift_ra
GW200220_061928,60.0,200,200,19,0.095,0.009865127361562632,0.08551970071403917,3.1051843665252945,0.11535502672711229,0.0031769860327493927,shift_ra
GW200208_130117,60.0,200,200,1,0.005,0.10775251174728505,22.894906536989634,107.00923063356746,0.004706396663956551,0.0010069459532539096,shift_ra
GW200219_094415,60.0,200,200,20,0.1,0.09168165036955861,0.867284692199999,28.962053894505136,0.10571113637091208,0.0031655783358290426,shift_ra
GW191230_180458,60.0,200,200,14,0.07,0.010313409476446376,0.14215075165747582,11.822058517050435,0.07255262006139372,0.0008723869418825664,shift_ra
GW200308_173609,60.0,1000,1000,76,0.076,0.004207318853313182,0.056446490024904435,0.29777197748631556,0.07453641229874337,0.01412933107013582,shift_ra
GW200220_061928,60.0,1000,1000,91,0.091,0.0215732550732011,0.21543247199848725,3.1051843665252945,0.10013929131979968,0.006947495712578768,shift_ra
GW200208_130117,60.0,1000,1000,10,0.01,0.547010149930275,65.11777519579688,107.00923063356746,0.008400320009175967,0.0051118034088424216,shift_ra
GW200219_094415,60.0,1000,1000,106,0.106,0.2748691592718525,2.5809111163214116,28.962053894505136,0.10650082350128555,0.009490665277851805,shift_ra
GW191230_180458,60.0,1000,1000,33,0.033,0.016734832579224788,0.42152861407953995,11.822058517050435,0.039700347782480605,0.0014155599513476333,shift_ra
GW200308_173609,60.0,5000,5000,485,0.097,0.014883599911142407,0.1632609487257954,0.29777197748631556,0.09116448254959075,0.049983212110099914,shift_ra
GW200220_061928,60.0,5000,5000,402,0.0804,0.05439714170713201,0.644469895457261,3.1051843665252945,0.08440602437843342,0.01751816809769736,shift_ra
GW200208_130117,60.0,5000,5000,38,0.0076,0.8484283953242132,106.84455029185061,107.00923063356746,0.007940773703541206,0.007928553362181373,shift_ra
GW200219_094415,60.0,5000,5000,476,0.0952,0.7532478817450465,7.655148935334509,28.962053894505136,0.09839754759939646,0.026008096127738977,shift_ra
GW191230_180458,60.0,5000,5000,160,0.032,0.0479452093096374,1.4227231336255173,11.822058517050435,0.03369960618230681,0.004055571983549915,shift_ra
GW200308_173609,60.0,20000,20000,1931,0.09655,0.031571959578448765,0.29777197748631556,0.29777197748631556,0.10602730265274773,0.10602730265274773,shift_ra
GW200220_061928,60.0,20000,20000,2164,0.1082,0.1647706393167804,1.6113936945266558,3.1051843665252945,0.10225349638418531,0.05306307770097367,shift_ra
GW200208_130117,60.0,20000,11255,78,0.00693025322079076,0.8504162151399414,107.00923063356746,107.00923063356746,0.007947129514948371,0.007947129514948371,shift_ra
GW200219_094415,60.0,20000,20000,2023,0.10115,1.6714072279927312,16.73584011084747,28.962053894505136,0.09986993284605983,0.05771024507035536,shift_ra
GW191230_180458,60.0,20000,20000,567,0.02835,0.1198208748255759,4.047754875819917,11.822058517050435,0.02960181100425575,0.01013536472119162,shift_ra
GW200308_173609,3.0,200,200,0,0.0,0.0,0.017171999996227677,0.29777197748631556,0.0,0.0,shift_dec
GW200220_061928,3.0,200,200,0,0.0,0.0,0.08551970071403917,3.1051843665252945,0.0,0.0,shift_dec
GW200208_130117,3.0,200,200,0,0.0,0.0,22.894906536989634,107.00923063356746,0.0,0.0,shift_dec
GW200219_094415,3.0,200,200,1,0.005,0.0031161510032667312,0.867284692199999,28.962053894505136,0.0035929966610642487,0.0001075942685079371,shift_dec
GW191230_180458,3.0,200,200,0,0.0,0.0,0.14215075165747582,11.822058517050435,0.0,0.0,shift_dec
GW200308_173609,3.0,1000,1000,0,0.0,0.0,0.056446490024904435,0.29777197748631556,0.0,0.0,shift_dec
GW200220_061928,3.0,1000,1000,0,0.0,0.0,0.21543247199848725,3.1051843665252945,0.0,0.0,shift_dec
GW200208_130117,3.0,1000,1000,0,0.0,0.0,65.11777519579688,107.00923063356746,0.0,0.0,shift_dec
GW200219_094415,3.0,1000,1000,2,0.002,0.005642997604443089,2.5809111163214116,28.962053894505136,0.0021864362429056014,0.00019484107118223801,shift_dec
GW191230_180458,3.0,1000,1000,0,0.0,0.0,0.42152861407953995,11.822058517050435,0.0,0.0,shift_dec
GW200308_173609,3.0,5000,5000,0,0.0,0.0,0.1632609487257954,0.29777197748631556,0.0,0.0,shift_dec
GW200220_061928,3.0,5000,5000,1,0.0002,9.420858425933681e-05,0.644469895457261,3.1051843665252945,0.00014617996111749242,3.0339127452440558e-05,shift_dec
GW200208_130117,3.0,5000,5000,0,0.0,0.0,106.84455029185061,107.00923063356746,0.0,0.0,shift_dec
GW200219_094415,3.0,5000,5000,2,0.0004,0.005642997604443089,7.655148935334509,28.962053894505136,0.0007371505965607323,0.00019484107118223801,shift_dec
GW191230_180458,3.0,5000,5000,0,0.0,0.0,1.4227231336255173,11.822058517050435,0.0,0.0,shift_dec
GW200308_173609,3.0,20000,20000,4,0.0002,4.4463930110200655e-05,0.29777197748631556,0.29777197748631556,0.00014932207686414698,0.00014932207686414698,shift_dec
GW200220_061928,3.0,20000,20000,3,0.00015,0.0002110969181099942,1.6113936945266558,3.1051843665252945,0.00013100269588184256,6.798208840211698e-05,shift_dec
GW200208_130117,3.0,20000,11255,0,0.0,0.0,107.00923063356746,107.00923063356746,0.0,0.0,shift_dec
GW200219_094415,3.0,20000,20000,7,0.00035,0.008674356664357017,16.73584011084747,28.962053894505136,0.0005183102017528635,0.000299507648730768,shift_dec
GW191230_180458,3.0,20000,20000,0,0.0,0.0,4.047754875819917,11.822058517050435,0.0,0.0,shift_dec
GW200308_173609,10.0,200,200,0,0.0,0.0,0.017171999996227677,0.29777197748631556,0.0,0.0,shift_dec
GW200220_061928,10.0,200,200,0,0.0,0.0,0.08551970071403917,3.1051843665252945,0.0,0.0,shift_dec
GW200208_130117,10.0,200,200,0,0.0,0.0,22.894906536989634,107.00923063356746,0.0,0.0,shift_dec
GW200219_094415,10.0,200,200,1,0.005,0.0031161510032667312,0.867284692199999,28.962053894505136,0.0035929966610642487,0.0001075942685079371,shift_dec
GW191230_180458,10.0,200,200,1,0.005,0.0005518911946093855,0.14215075165747582,11.822058517050435,0.0038824359925947747,4.668317229299932e-05,shift_dec
GW200308_173609,10.0,1000,1000,0,0.0,0.0,0.056446490024904435,0.29777197748631556,0.0,0.0,shift_dec
GW200220_061928,10.0,1000,1000,3,0.003,0.0005207824215428533,0.21543247199848725,3.1051843665252945,0.0024173812643551256,0.000167713848864185,shift_dec
GW200208_130117,10.0,1000,1000,0,0.0,0.0,65.11777519579688,107.00923063356746,0.0,0.0,shift_dec
GW200219_094415,10.0,1000,1000,5,0.005,0.012413746243638432,2.5809111163214116,28.962053894505136,0.0048098309798951236,0.00042862106012424924,shift_dec
GW191230_180458,10.0,1000,1000,1,0.001,0.0005518911946093855,0.42152861407953995,11.822058517050435,0.0013092615214616175,4.668317229299932e-05,shift_dec
GW200308_173609,10.0,5000,5000,12,0.0024,0.00029089595997712926,0.1632609487257954,0.29777197748631556,0.001781785309025142,0.0009769084466334569,shift_dec
GW200220_061928,10.0,5000,5000,13,0.0026,0.001592019411076427,0.644469895457261,3.1051843665252945,0.0024702773896783273,0.0005126972260451958,shift_dec
GW200208_130117,10.0,5000,5000,1,0.0002,0.01369997209825423,106.84455029185061,107.00923063356746,0.00012822340550671188,0.0001280260779106725,shift_dec
GW200219_094415,10.0,5000,5000,11,0.0022,0.019215899412973584,7.655148935334509,28.962053894505136,0.0025101927572273816,0.0006634853827345217,shift_dec
GW191230_180458,10.0,5000,5000,2,0.0004,0.0008238880768856476,1.4227231336255173,11.822058517050435,0.0005790923458073942,6.969074596419821e-05,shift_dec
